OBJECTID,variable,Total,A_sayanus,C_funduloides,E_flabellare,E_olmstedi,L_auritus,M_collapsum,N_leptocephalus,N_altipinnis,N_insignis,Description,buffer,wetland,temp,velocity,volume,AvdConv,DamRem,NutRed,Ranking
1,AreaSqKM,7,0,1,1,1,1,1,1,0,1,Catchment area in square kilometers,,,,,,,,,0
2,LENGTHKM,7,0,1,1,1,1,1,1,0,1,Flowline length,,,,,,,,,0
3,FCODE,6,0,1,1,1,1,0,1,0,1,Numeric code for feature attributes in the NHDFCode lookup table,,,,,,,,,0
4,StreamOrde,6,0,0,1,1,1,1,1,0,1,Strahler Stream order,,,,,,,,,0
5,Pathlength,6,0,1,1,1,1,0,1,0,1,Distance to the terminal Flowline feature downstream along the main path,,,,,,,,,0
6,ArbolateSu,5,0,1,0,1,1,0,1,0,1,Km of stream upstream of the bottom of the NHDFlowline feature,,,,,,,,,0
7,TotDASqKM,5,0,1,0,1,1,0,1,0,1,Total Upstream Cumulative Drainage Area (km2) at the downstream end of the NHDFlowline feature,,,,,,,,,0
8,SLOPE,0,0,0,0,0,0,0,0,0,0,Slope of flowline (meters/meters) based on smoothed elevations,,,,,,,,,0
9,Q0001E,2,0,1,0,0,0,1,0,0,0,Mean annual flow from gage adjustment (cfs),,,,,s,,,,2
10,V0001E,7,0,1,1,1,1,1,1,0,1,Mean annual velocity from gage adjustment (fps),,,,s,,,,,2
11,Qincr0001E,7,0,1,1,1,1,1,1,0,1,Mean annual incremental flow from gage adjustment (cfs),,,,,s,,,,2
12,TEMP0001,3,0,1,0,0,0,0,1,0,1,Mean annual catchment temperature (Deg. C),,,s,,,,,,2
13,PPT0001,4,0,1,0,1,0,0,1,0,1,Mean annual catchment precipitation (mm),,,,,,,,,0
14,PET0001,3,0,1,0,0,0,0,1,0,1,Mean annual catchment PET (mm),,,,,,,,,1
15,QLOSS0001,0,0,0,0,0,0,0,0,0,0,Mean annual catchment flow loss from Excess ET (cfs),,,,,,,,,1
16,Q0001E_min,2,0,1,0,0,0,1,0,0,0,Min. monthly flow (cfs),,,,,s,,,,1
17,Q0001E_max,1,0,1,0,0,0,0,0,0,0,Max. monthly flow (cfs),,,,,s,,,,1
18,TempVC,7,0,1,1,1,1,1,1,0,1,Mean annual temp. upstream of the catchment (°C * 100),,,s,,,,,,1
19,TempVMA,3,0,1,0,0,0,0,1,0,1,Mean annual temperature within the catchment (°C * 100),,,s,,,,,,1
20,Temp_min,4,0,1,0,0,1,0,1,0,1,Min. monthly mean temperature w/in the catchment (in °C * 100),,,s,,,,,,1
21,Temp_max,4,0,1,0,0,0,1,1,1,0,Max. monthly mean temperature w/in the catchment (in °C * 100),,,s,,,,,,1
22,PrecipVC,4,0,1,0,0,1,0,1,0,1,Mean annual precipitation upstream of catchment (mm * 100),,,,,,,,,0
23,PrecipVMA,4,0,1,0,1,0,0,1,0,1,Mean annual precipitation w/in the catchment (mm * 100),,,,,,,,,0
24,Precip_min,4,0,1,0,0,1,0,1,0,1,Min. monthly mean precipitation w/in the catchment (mm * 100),,,,,,,,,0
25,Precip_max,4,0,1,0,1,0,0,1,0,1,Max. monthly mean precipitation w/in the catchment (mm * 100),,,,,,,,,0
26,RunOffVMA,3,0,1,0,0,0,0,1,0,1,Mean annual runoff in the area of the catchment (mm),,,,,,,,,1
