Species,X,Y,NLCD52P,warm
Aphredoderus_sayanus,2301891,9734048,15.304183,100.0
Aphredoderus_sayanus,2302104,9734132,3.606182,100.0
background,2297822,11566032,2.037618,0.0
background,2298591,9753948,2.736043,100.0
background,2298592,9750426,0.0,0.0
background,2298610,9750466,1.083467,0.0
background,2298611,9751800,8.840864,0.0
background,2298612,9750338,1.760841,0.0
background,2298613,9752294,2.096047,100.0
background,2298634,9752412,9.041676,100.0
background,2298657,9751462,8.447305,100.0
background,2298658,9755424,0.952028,100.0
background,2298659,9750262,0.198356,0.0
background,2298677,9751936,1.632779,100.0
background,2298678,9751976,0.0,100.0
background,2298786,9751808,4.072727,100.0
background,2298787,9752022,5.118753,100.0
background,2298788,9752612,4.26189,100.0
background,2298789,9750392,0.0,0.0
background,2298790,9755422,0.917108,100.0
background,2298791,9752706,0.0,100.0
background,2298792,9755026,0.0,0.0
background,2298793,9754832,0.0,0.0
background,2298794,9754842,0.152439,0.0
background,2298795,9754774,0.0,0.0
background,2298796,9752944,0.0,0.0
background,2298797,9753412,2.058824,100.0
background,2298798,9752654,3.289474,0.0
background,2298801,9752724,4.380242,100.0
background,2298802,9751848,1.56914,100.0
background,2298804,9751570,2.062542,0.0
background,2298805,9750404,0.933454,0.0
background,2298806,9752626,1.216659,100.0
background,2298810,9750438,0.195408,0.0
background,2298811,9751974,4.908676,0.0
background,2298812,9752970,2.335456,81.29551534355383
background,2298813,9750376,2.738185,0.0
background,2298814,9753158,5.372083,100.0
background,2298815,9752134,21.58516,100.0
background,2298816,9752140,2.341137,100.0
background,2298818,9753936,4.482934,100.0
background,2298819,9751822,2.365591,100.0
background,2298820,9750430,0.0,0.0
background,2298821,9752194,3.991597,0.0
background,2298822,9751566,8.618128,100.0
background,2298823,9751676,1.447574,100.0
background,2298824,9751576,5.284832,0.0
background,2298828,9751478,17.5,0.0
background,2298829,9753442,23.746162,100.0
background,2298830,9751868,0.27139,0.0
background,2298831,9751812,0.0,0.0
background,2298832,9751688,5.660377,100.0
background,2298833,9751778,6.007962,100.0
background,2298834,9752492,3.529412,100.0
background,2298835,9752530,2.597403,100.0
background,2298836,9752730,2.145923,100.0
background,2298838,9755474,2.367688,100.0
background,2298843,9751854,2.379772,0.0
background,2298845,9750550,2.393727,0.0
background,2298846,9754096,0.671615,100.0
background,2298847,9751480,4.832714,100.0
background,2298848,9752222,1.492537,0.0
background,2298849,9752406,5.934066,100.0
background,2298850,9751872,0.810811,100.0
background,2298851,9751922,3.216583,100.0
background,2298852,9751412,10.747664,0.0
background,2298853,9751436,0.0,0.0
background,2298856,9752306,3.537736,100.0
background,2298857,9751604,9.783879,100.0
background,2298859,9752108,7.209063,100.0
background,2298860,9751894,0.0,100.0
background,2298861,9752376,2.037351,100.0
background,2298862,9751830,0.0,100.0
background,2298863,9750410,0.3861,0.0
background,2298864,9752394,3.184432,100.0
background,2298867,9755432,1.080292,100.0
background,2298868,9751722,5.113636,100.0
background,2298871,9752518,3.084577,100.0
background,2298872,9751860,3.75,100.0
background,2298873,9750378,2.439024,0.0
background,2298874,9751628,2.491281,0.0
background,2298875,9751698,7.839477,0.0
background,2298877,9751650,5.494505,100.0
background,2298878,9751944,2.524544,100.0
background,2298880,9752358,1.972062,100.0
background,2298882,9751420,6.825712,100.0
background,2298883,9751572,0.0,100.0
background,2298884,9753812,9.594212,100.0
background,2298885,9751492,0.488538,0.0
background,2298886,9751886,2.911444,100.0
background,2298887,9750548,0.0,0.0
background,2298888,9751416,0.271887,0.0
background,2298892,9753938,2.931596,100.0
background,2298893,9751770,3.237784,100.0
background,2298897,9751490,0.334129,100.0
background,2298898,9751370,1.358696,0.0
background,2298904,9754128,5.705706,100.0
background,2298910,9750272,3.084516,0.0
background,2298911,9750300,0.482668,0.0
background,2298912,9751524,0.952381,0.0
background,2298914,9752466,1.772152,100.0
background,2298915,9761474,0.0,100.0
background,2298916,9750312,5.733558,0.0
background,2298917,9752120,0.0,100.0
background,2298918,9750504,0.0,0.0
background,2298919,9752288,1.944895,100.0
background,2298920,9752772,3.850932,4.502971150054634
background,2298921,9752774,0.0,100.0
background,2298922,9752044,3.331156,100.0
background,2298923,9750436,0.0,0.0
background,2298925,9753760,5.308776,100.0
background,2298929,9752330,2.697731,100.0
background,2298930,9752382,2.829842,100.0
background,2298933,9751408,1.195559,0.0
background,2298936,9751890,0.0,100.0
background,2298937,9751690,3.030303,0.0
background,2298938,9752416,7.264151,0.0
background,2298939,9752476,4.02347,0.0
background,2298940,9751678,0.0,100.0
background,2298941,9751724,6.431767,100.0
background,2298943,9752722,0.794292,100.0
background,2298944,9754134,4.869442,100.0
background,2298947,9752182,5.134933,100.0
background,2298948,9752316,2.681564,100.0
background,2298949,9752020,8.166969,100.0
background,2298950,9752090,2.241297,100.0
background,2298952,9753952,18.867925,100.0
background,2298955,9752200,5.125725,100.0
background,2298956,9752240,0.575816,100.0
background,2298958,9751514,4.252088,100.0
background,2298959,9752198,0.0,100.0
background,2298960,9752746,0.0,100.0
background,2298963,9752230,4.31566,100.0
background,2298964,9752266,0.288184,100.0
background,2298965,9752566,0.0,0.0
background,2298966,9752648,2.953788,0.0
background,2298969,9752172,0.719794,100.0
background,2298970,9753800,0.407148,100.0
background,2298973,9751876,4.9636,100.0
background,2298974,9750322,0.0,0.0
background,2298975,9752070,6.904762,100.0
background,2298976,9752238,1.749271,100.0
background,2298977,9751442,2.166065,0.0
background,2298980,9755486,0.581114,100.0
background,2298981,9755496,15.671642,100.0
background,2298982,9750534,0.0,0.0
background,2298983,9751378,0.0,0.0
background,2298984,9752124,0.0,100.0
background,2298985,9751874,10.294434,0.0
background,2298986,9752544,7.098765,100.0
background,2298987,9750632,0.512715,100.0
background,2298988,9751928,2.361963,100.0
background,2298989,9752186,0.0,100.0
background,2298992,9752554,0.775194,100.0
background,2298993,9752078,8.450704,100.0
background,2298997,9750488,1.329394,0.0
background,2298999,9751762,7.729469,0.0
background,2299000,9753774,1.116715,100.0
background,2299001,9751824,0.0,100.0
background,2299002,9754104,3.873659,100.0
background,2299003,9756870,0.0,100.0
background,2299007,9752424,5.050505,100.0
background,2299008,9751738,1.568415,0.0
background,2299009,9752702,1.948925,100.0
background,2299010,9752128,2.857143,100.0
background,2299013,9751776,5.905111,100.0
background,2299014,9752310,5.417082,100.0
background,2299015,9751474,1.663468,0.0
background,2299016,9751488,0.0,0.0
background,2299018,9751708,0.0,0.0
background,2299019,9751714,0.0,0.0
background,2299022,9751930,1.859504,0.0
background,2299023,9752026,2.684417,0.0
background,2299024,9751622,2.911877,100.0
background,2299025,9752160,3.142184,100.0
background,2299026,9752546,2.196532,0.0
background,2299027,9750360,0.806452,0.0
background,2299031,9755492,4.013664,100.0
background,2299032,9750374,4.989384,0.0
background,2299035,9751798,8.528198,0.0
background,2299036,9751648,3.264509,0.0
background,2299037,9752562,2.430022,100.0
background,2299039,9755438,1.295961,100.0
background,2299040,9756616,4.79062,100.0
background,2299043,9751916,3.623188,100.0
background,2299044,9751956,1.060606,100.0
background,2299045,9752214,8.0,100.0
background,2299046,9752130,6.218576,0.0
background,2299047,9750562,1.291409,100.0
background,2299048,9751384,5.696203,100.0
background,2299049,9752484,1.017812,100.0
background,2299050,9751456,4.199475,0.0
background,2299052,9752440,4.253545,100.0
background,2299056,9752058,1.823972,100.0
background,2299057,9752072,1.035197,100.0
background,2299058,9751880,2.430724,100.0
background,2299059,9753940,4.430642,100.0
background,2299060,9751920,0.0,0.0
background,2299061,9754952,0.576992,0.0
background,2299062,9751896,0.0,0.0
background,2299063,9753348,6.345733,100.0
background,2299064,9754684,6.559332,0.0
background,2299065,9755210,0.089233,0.0
background,2299066,9752560,3.394625,0.0
background,2299067,9751696,0.0,0.0
background,2299068,9754672,0.0,0.0
background,2299069,9754528,2.349964,0.0
background,2299070,9750348,0.0,0.0
background,2299071,9754674,0.0,0.0
background,2299072,9754650,0.0,0.0
background,2299073,9751596,0.516129,0.0
background,2299074,9750512,1.155075,0.0
background,2299075,9753568,2.700572,100.0
background,2299076,9755052,0.0,0.0
background,2299077,9753236,15.439856,100.0
background,2299078,9753504,18.134715,100.0
background,2299079,9754736,1.875,0.0
background,2299080,9753376,5.939124,100.0
background,2299081,9753508,1.506024,100.0
background,2299082,9755028,1.899078,0.0
background,2299083,9751996,0.806452,0.0
background,2299084,9755548,0.0,100.0
background,2299085,9752336,7.624633,100.0
background,2299086,9752470,30.769231,0.0
background,2299087,9754908,0.140449,0.0
background,2299088,9752512,5.828741,0.0
background,2299089,9755208,1.100187,0.0
background,2299090,9753098,2.742857,100.0
background,2299091,9751784,0.0,100.0
background,2299092,9753582,7.775378,100.0
background,2299093,9756538,3.865979,100.0
background,2299094,9751746,2.122241,0.0
background,2299095,9752000,4.152874,0.0
background,2299096,9753252,9.102564,100.0
background,2299097,9754690,9.895833,0.0
background,2299098,9752698,4.863424,0.0
background,2299099,9751674,0.0,0.0
background,2299100,9751728,0.0,0.0
background,2299101,9750366,0.0,0.0
background,2299102,9752840,4.178674,5.487125605407674
background,2299103,9752028,3.674833,0.0
background,2299104,9752272,4.286828,0.0
background,2299105,9752292,0.0,0.0
background,2299106,9752856,0.0,31.714976263980688
background,2299107,9754706,4.352597,0.0
background,2299108,9750446,0.660611,0.0
background,2299109,9752658,2.487562,0.0
background,2299110,9751736,0.0,0.0
background,2299111,9751826,0.0,0.0
background,2299112,9750524,0.0,0.0
