X,Y,Aphredoderus_sayanus logistic values
2301891.0,9734048.0,0.59700406
2302104.0,9734132.0,0.50220686
2297822.0,1.1566032E7,1.4049694E-4
2298591.0,9753948.0,0.49506304
2298592.0,9750426.0,1.314042E-4
2298610.0,9750466.0,1.3616333E-4
2298611.0,9751800.0,1.7566408E-4
2298612.0,9750338.0,1.3922586E-4
2298613.0,9752294.0,0.48980984
2298634.0,9752412.0,0.54669666
2298657.0,9751462.0,0.5418551
2298658.0,9755424.0,0.48042583
2298659.0,9750262.0,1.3226287E-4
2298677.0,9751936.0,0.48600855
2298678.0,9751976.0,0.47262692
2298786.0,9751808.0,0.506037
2298787.0,9752022.0,0.51462114
2298788.0,9752612.0,0.50758976
2298789.0,9750392.0,1.314042E-4
2298790.0,9755422.0,0.48013958
2298791.0,9752706.0,0.47262692
2298792.0,9755026.0,1.314042E-4
2298793.0,9754832.0,1.314042E-4
2298794.0,9754842.0,1.3206361E-4
2298795.0,9754774.0,1.314042E-4
2298796.0,9752944.0,1.314042E-4
2298797.0,9753412.0,0.48950437
2298798.0,9752654.0,1.4639253E-4
2298801.0,9752724.0,0.5085612
2298802.0,9751848.0,0.4854865
2298804.0,9751570.0,1.4061197E-4
2298805.0,9750404.0,1.3549425E-4
2298806.0,9752626.0,0.48259553
2298810.0,9750438.0,1.3225008E-4
2298811.0,9751974.0,1.5438651E-4
2298812.0,9752970.0,0.15656097
2298813.0,9750376.0,1.4376636E-4
2298814.0,9753158.0,0.516699
2298815.0,9752134.0,0.64548904
2298816.0,9752140.0,0.49182138
2298818.0,9753936.0,0.50940406
2298819.0,9751822.0,0.4920221
2298820.0,9750430.0,1.314042E-4
2298821.0,9752194.0,1.4980679E-4
2298822.0,9751566.0,0.5432474
2298823.0,9751676.0,0.48448932
2298824.0,9751576.0,1.563052E-4
2298828.0,9751478.0,2.3343123E-4
2298829.0,9753442.0,0.66155636
2298830.0,9751868.0,1.3258043E-4
2298831.0,9751812.0,1.314042E-4
2298832.0,9751688.0,0.5190629
2298833.0,9751778.0,0.52191186
2298834.0,9752492.0,0.5015766
2298835.0,9752530.0,0.49392495
2298836.0,9752730.0,0.49021915
2298838.0,9755474.0,0.49203932
2298843.0,9751854.0,1.4208432E-4
2298845.0,9750550.0,1.4214944E-4
2298846.0,9754096.0,0.47812757
2298847.0,9751480.0,0.51227444
2298848.0,9752222.0,1.3800466E-4
2298849.0,9752406.0,0.5213063
2298850.0,9751872.0,0.4792683
2298851.0,9751922.0,0.4990082
2298852.0,9751412.0,1.8701388E-4
2298853.0,9751436.0,1.314042E-4
2298856.0,9752306.0,0.5016449
2298857.0,9751604.0,0.55272996
2298859.0,9752108.0,0.53174436
2298860.0,9751894.0,0.47262692
2298861.0,9752376.0,0.48932815
2298862.0,9751830.0,0.47262692
2298863.0,9750410.0,1.3308077E-4
2298864.0,9752394.0,0.49874425
2298867.0,9755432.0,0.48147738
2298868.0,9751722.0,0.5145792
2298871.0,9752518.0,0.49792442
2298872.0,9751860.0,0.5033876
2298873.0,9750378.0,1.4236102E-4
2298874.0,9751628.0,1.4260552E-4
2298875.0,9751698.0,1.6998209E-4
2298877.0,9751650.0,0.51770294
2298878.0,9751944.0,0.49332684
2298880.0,9752358.0,0.48879236
2298882.0,9751420.0,0.52860844
2298883.0,9751572.0,0.47262692
2298884.0,9753812.0,0.5511896
2298885.0,9751492.0,1.3352916E-4
2298886.0,9751886.0,0.49650303
2298887.0,9750548.0,1.314042E-4
2298888.0,9751416.0,1.325826E-4
2298892.0,9753938.0,0.49666846
2298893.0,9751770.0,0.49918225
2298897.0,9751490.0,0.47536275
2298898.0,9751370.0,1.3739947E-4
2298904.0,9754128.0,0.5194345
2298910.0,9750272.0,1.4541062E-4
2298911.0,9750300.0,1.3350343E-4
2298912.0,9751524.0,1.3557849E-4
2298914.0,9752466.0,0.487152
2298915.0,9761474.0,0.47262692
2298916.0,9750312.0,1.5862528E-4
2298917.0,9752120.0,0.47262692
2298918.0,9750504.0,1.314042E-4
2298919.0,9752288.0,0.48856944
2298920.0,9752772.0,2.2188395E-4
2298921.0,9752774.0,0.47262692
2298922.0,9752044.0,0.49994886
2298923.0,9750436.0,1.314042E-4
2298925.0,9753760.0,0.5161798
2298929.0,9752330.0,0.49474853
2298930.0,9752382.0,0.4958331
2298933.0,9751408.0,1.3666543E-4
2298936.0,9751890.0,0.47262692
2298937.0,9751690.0,1.4515201E-4
2298938.0,9752416.0,1.6680111E-4
2298939.0,9752476.0,1.4996366E-4
2298940.0,9751678.0,0.47262692
2298941.0,9751724.0,0.52538353
2298943.0,9752722.0,0.47913292
2298944.0,9754134.0,0.5125758
2298947.0,9752182.0,0.5147539
2298948.0,9752316.0,0.49461582
2298949.0,9752020.0,0.5395688
2298950.0,9752090.0,0.4910019
2298952.0,9753952.0,0.6248142
2298955.0,9752200.0,0.51467836
2298956.0,9752240.0,0.4773426
2298958.0,9751514.0,0.5075093
2298959.0,9752198.0,0.47262692
2298960.0,9752746.0,0.47262692
2298963.0,9752230.0,0.50803113
2298964.0,9752266.0,0.47498646
2298965.0,9752566.0,1.314042E-4
2298966.0,9752648.0,1.4478777E-4
2298969.0,9752172.0,0.4785224
2298970.0,9753800.0,0.47596082
2298973.0,9751876.0,0.51334834
2298974.0,9750322.0,1.314042E-4
2298975.0,9752070.0,0.5292553
2298976.0,9752238.0,0.4869643
2298977.0,9751442.0,1.4109077E-4
2298980.0,9755486.0,0.477386
2298981.0,9755496.0,0.599904
2298982.0,9750534.0,1.314042E-4
2298983.0,9751378.0,1.314042E-4
2298984.0,9752124.0,0.47262692
2298985.0,9751874.0,1.842514E-4
2298986.0,9752544.0,0.53084236
2298987.0,9750632.0,0.47682562
2298988.0,9751928.0,0.49199232
2298989.0,9752186.0,0.47262692
2298992.0,9752554.0,0.4789764
2298993.0,9752078.0,0.5418828
2298997.0,9750488.0,1.3726734E-4
2298999.0,9751762.0,1.693692E-4
2299000.0,9753774.0,0.48177603
2299001.0,9751824.0,0.47262692
2299002.0,9754104.0,0.5044028
2299003.0,9756870.0,0.47262692
2299007.0,9752424.0,0.5140613
2299008.0,9751738.0,1.3834893E-4
2299009.0,9752702.0,0.4886025
2299010.0,9752128.0,0.4960572
2299013.0,9751776.0,0.521069
2299014.0,9752310.0,0.517068
2299015.0,9751474.0,1.3878141E-4
2299016.0,9751488.0,1.314042E-4
2299018.0,9751708.0,1.314042E-4
2299019.0,9751714.0,1.314042E-4
2299022.0,9751930.0,1.3967764E-4
2299023.0,9752026.0,1.4351276E-4
2299024.0,9751622.0,0.49650657
2299025.0,9752160.0,0.49839738
2299026.0,9752546.0,1.4123198E-4
2299027.0,9750360.0,1.349304E-4
2299031.0,9755492.0,0.5055521
2299032.0,9750374.0,1.5479619E-4
2299035.0,9751798.0,1.7386989E-4
2299036.0,9751648.0,1.4627258E-4
2299037.0,9752562.0,0.49255097
2299039.0,9755438.0,0.48324585
2299040.0,9756616.0,0.51192904
