Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.102E-8,0.000005102,0.000131404,1,0,0
5.10445E-8,0.031571206,0.000131467,0.636678607,0,0
5.43991E-8,0.050004049,0.000140106,0.430618357,0,0
4.83033E-5,0.104742668,0.110655258,0.152269658,0,0
3.47916E-4,0.223942171,0.472626927,0.151858594,0,0
3.48181E-4,22.177498837,0.472816107,0.114804158,0,0
3.48315E-4,22.281992074,0.472912244,0.114627988,0,0
3.48457E-4,22.5258792,0.473013605,0.114216924,0,0
3.48763E-4,22.769909897,0.473232469,0.113805861,0,0
3.49011E-4,23.014123835,0.473409549,0.113394797,0,0
3.49207E-4,23.258527226,0.473550007,0.112983734,0,0
3.49444E-4,23.503050706,0.473719337,0.11257267,0,0
3.49748E-4,23.782732376,0.473936106,0.112102883,0,0
3.49915E-4,24.027619331,0.474054692,0.11169182,0,0
3.50092E-4,24.272624819,0.474180912,0.111280756,0,0
3.50343E-4,24.517778928,0.474359747,0.110869693,0,0
3.50448E-4,24.763064457,0.474434248,0.110458629,0,0
3.50652E-4,25.00845678,0.474579378,0.110047566,0,0
3.5092E-4,25.254002815,0.474770233,0.109636502,0,0
3.5113E-4,25.534850054,0.474919346,0.109166716,0,0
3.51328E-4,25.780710024,0.475059601,0.108755652,0,0
3.51461E-4,26.026691947,0.475154013,0.108344589,0,0
3.51592E-4,26.272765652,0.475247035,0.107933525,0,0
3.51755E-4,26.518947519,0.475362753,0.107522462,0,0
3.5188E-4,26.765243831,0.475451061,0.107111398,0,0
3.51997E-4,27.011610569,0.47553394,0.106700335,0,0
3.52267E-4,27.258097869,0.475725331,0.106289271,0,0
3.52499E-4,27.504757598,0.475889224,0.105878208,0,0
3.52547E-4,27.751522711,0.475923716,0.105467144,0,0
3.52763E-4,28.033650408,0.47607618,0.104997357,0,0
3.52931E-4,28.280641672,0.476194956,0.104586294,0,0
3.53076E-4,28.527748479,0.476297622,0.10417523,0,0
3.53229E-4,28.774968723,0.476405819,0.103764167,0,0
3.53387E-4,29.022315706,0.476517132,0.103353104,0,0
3.53519E-4,29.269731774,0.47661044,0.10294204,0,0
3.53621E-4,29.517234856,0.476681958,0.102530977,0,0
3.53958E-4,29.764876024,0.476919663,0.102119913,0,0
3.54148E-4,30.012722731,0.477053591,0.10170885,0,0
3.54305E-4,30.260673521,0.477163999,0.101297786,0,0
3.54469E-4,30.508783703,0.477280055,0.100886723,0,0
3.5462E-4,30.756954265,0.47738601,0.100475659,0,0
3.54809E-4,31.005278496,0.47751922,0.100064596,0,0
3.54954E-4,31.253688077,0.47762069,0.099653532,0,0
3.55218E-4,31.502271081,0.477806321,0.099242469,0,0
3.55433E-4,31.750992914,0.477957093,0.098831405,0,0
3.55737E-4,32.035455873,0.478170998,0.098361618,0,0
3.55909E-4,32.28455125,0.478291688,0.097950555,0,0
3.56163E-4,32.533829334,0.478469286,0.097539491,0,0
3.56283E-4,32.783176446,0.47855367,0.097128428,0,0
3.56461E-4,33.032646245,0.478678286,0.096717364,0,0
3.56581E-4,33.282230617,0.478762255,0.096306301,0,0
3.56768E-4,33.531884616,0.478892611,0.095895238,0,0
3.56952E-4,33.78169658,0.479021873,0.095484174,0,0
3.57174E-4,34.031640101,0.479176946,0.095073111,0,0
3.57305E-4,34.281698422,0.479268315,0.094662047,0,0
