variable, coef, p_value
AreaSqKM, 0.151557, 0.000
Shape_Length, 0.165860, 0.000
Shape_Area, 0.151557, 0.000
LENGTHKM, 0.178325, 0.000
FCODE, -0.071367, 0.000
StreamOrde, 0.075115, 0.000
Pathlength, 0.079345, 0.000
ArbolateSu, -0.040020, 0.001
TotDASqKM, -0.040539, 0.001
V0001E, 0.122514, 0.000
Qincr0001E, 0.102295, 0.000
TEMP0001, -0.046161, 0.000
PPT0001, 0.053584, 0.000
PET0001, -0.048656, 0.000
TempVC, -0.079365, 0.000
TempVMA, -0.046141, 0.000
Temp_min, -0.048920, 0.000
Temp_max, -0.042268, 0.000
PrecipVC, 0.080301, 0.000
PrecipVMA, 0.053584, 0.000
Precip_min, 0.066836, 0.000
Precip_max, 0.055154, 0.000
RunOffVMA, 0.056115, 0.000
RunOff_min, 0.023747, 0.045
RunOff_max, 0.057778, 0.000
NLCD11P, -0.051396, 0.000
NLCD21P, 0.026933, 0.023
NLCD41P, 0.029294, 0.013
NLCD42P, -0.034007, 0.004
NLCD52P, 0.029929, 0.012
NLCD2, 0.102518, 0.000
NLCD3, 0.102518, 0.000
NLCD4, 0.122655, 0.000
NLCD5, 0.167559, 0.000
NLCD7, 0.095918, 0.000
NLCD8, 0.102388, 0.000
NLCD9, 0.092611, 0.000
NLCD11PC, -0.053337, 0.000
NLCD41PC, 0.077003, 0.000
NLCD42PC, -0.057249, 0.000
NLCD71PC, -0.047009, 0.000
NLCD81PC, -0.046665, 0.000
NLCD1_1, -0.044830, 0.000
NLCD2_1, -0.042803, 0.000
NLCD3_1, -0.042803, 0.000
NLCD4_1, -0.042451, 0.000
NLCD5_1, -0.039055, 0.001
NLCD7_1, -0.039923, 0.001
NLCD8_1, -0.041500, 0.000
NLCD9_1, -0.041397, 0.000
slope_MEAN, 0.053128, 0.000
FLNLCD_21, 0.086600, 0.000
FLNLCD_22, 0.036730, 0.002
FLNLCD_31, 0.044586, 0.000
FLNLCD_41, 0.156297, 0.000
FLNLCD_42, 0.065490, 0.000
FLNLCD_43, 0.040428, 0.001
FLNLCD_52, 0.086797, 0.000
FLNLCD_71, 0.096930, 0.000
FLNLCD_81, 0.111907, 0.000
FLNLCD_90, 0.101066, 0.000
Other, 0.028450, 0.016
Forest, 0.154481, 0.000
Wetland, 0.089789, 0.000
pctWetland, 0.025138, 0.034
ShadedSegments, 0.174505, 0.000
ShadedLength, 0.153499, 0.000
LongestSegment, 0.077262, 0.000
MeanShadeLength, -0.024563, 0.038
cold, 0.047094, 0.000
cool, 0.092021, 0.000
TotLength, 0.224372, 0.000
Crossings, 0.165277, 0.000
PctCanopy, 0.027307, 0.021
