Var1, Var2, Coeff
Shape_Length, LENGTHKM, 0.917687978402
Shape_Length, NLCD5, 0.877577022676
Shape_Length, ShadedSegments, 0.722832358958
LENGTHKM, NLCD5, 0.85311569181
LENGTHKM, ShadedSegments, 0.782451330641
ArbolateSu, NLCD2_1, 0.986318271802
ArbolateSu, NLCD4_1, 0.993057971889
ArbolateSu, NLCD7_1, 0.988703986288
ArbolateSu, NLCD9_1, 0.982294910978
TEMP0001, PET0001, 0.99787735537
TEMP0001, TempVMA, 0.999998444444
TEMP0001, Temp_max, 0.991782403159
PET0001, TempVMA, 0.997878153682
PET0001, Temp_max, 0.994978422241
PET0001, cold, -0.708820930784
TempVMA, Temp_max, 0.991796840129
Temp_max, cold, -0.731329978871
PrecipVMA, Precip_max, 0.966901139901
PrecipVMA, RunOff_min, 0.861693320276
Precip_max, RunOff_min, 0.831579500025
NLCD41P, PctCanopy, 0.776252716591
NLCD3, FLNLCD_21, 0.736397934486
NLCD2_1, NLCD4_1, 0.998712426656
NLCD2_1, NLCD7_1, 0.977241221279
NLCD2_1, NLCD9_1, 0.977421971436
NLCD4_1, NLCD7_1, 0.983892517353
NLCD4_1, NLCD9_1, 0.982439367029
NLCD7_1, NLCD9_1, 0.99634327593
