X,Y,Nocomis_leptocephalus logistic values
2298787.0,9752022.0,0.60812265
2298790.0,9755422.0,0.75600815
2298796.0,9752944.0,0.47248343
2298797.0,9753412.0,0.5076529
2298804.0,9751570.0,0.5419288
2298813.0,9750376.0,0.51072174
2298816.0,9752140.0,0.63210523
2298824.0,9751576.0,0.33945185
2298838.0,9755474.0,0.70337456
2298863.0,9750410.0,0.7402763
2298878.0,9751944.0,0.41549572
2298893.0,9751770.0,0.4397011
2298939.0,9752476.0,0.64448696
2298943.0,9752722.0,0.7118412
2298985.0,9751874.0,0.6728451
2298986.0,9752544.0,0.24706177
2299013.0,9751776.0,0.5471508
2299019.0,9751714.0,0.53060675
2299032.0,9750374.0,0.7265649
2299036.0,9751648.0,0.5444135
2299039.0,9755438.0,0.85125023
2299087.0,9754908.0,0.73851806
2299093.0,9756538.0,0.7711265
2299098.0,9752698.0,0.6252809
2299103.0,9752028.0,0.68311846
2299111.0,9751826.0,0.22436678
2299118.0,9751926.0,0.8492552
2299121.0,9754766.0,0.7678528
2299130.0,9755002.0,0.61678326
2299131.0,9753244.0,0.68963474
2299184.0,9754594.0,0.1485599
2299185.0,9754496.0,0.55315566
2299192.0,9750520.0,0.6717551
2299205.0,9755000.0,0.49592683
2299219.0,9752398.0,0.52389556
2299226.0,9754858.0,0.7211363
2299229.0,9754848.0,0.66234964
2299257.0,9753814.0,0.73726285
2299259.0,9754914.0,0.63728315
2299278.0,9754776.0,0.72719425
2299280.0,9752298.0,0.65864766
2299281.0,9753806.0,0.87516856
2299287.0,9754748.0,0.60394084
2299309.0,9752100.0,0.58676976
2299311.0,9754898.0,0.8177091
2299318.0,9754616.0,0.60739803
2299321.0,9752278.0,0.2105099
2299331.0,9753060.0,0.47496614
2299363.0,9752946.0,0.48375556
2299364.0,9753892.0,0.7770776
2299375.0,9752854.0,0.45993418
2299388.0,9754928.0,0.49231693
2299389.0,9753278.0,0.47880602
2299392.0,9756614.0,0.417571
2299401.0,9754536.0,0.78638375
2299416.0,9756668.0,0.5649723
2299417.0,9756694.0,0.67718196
2299423.0,9752226.0,0.5891669
2299424.0,9756830.0,0.79353505
2299426.0,9754718.0,0.6774021
2299427.0,9750476.0,0.5724338
2299449.0,9751434.0,0.24013218
2299467.0,9753764.0,0.41438103
2299493.0,9753084.0,0.49067113
2299508.0,9754582.0,0.7668078
2299510.0,9756568.0,0.7337669
2299515.0,9756564.0,0.63109183
2299516.0,9756576.0,0.76622134
2299529.0,9750542.0,0.41797307
2299552.0,9755430.0,0.5793444
2299574.0,9756566.0,0.62642866
2299585.0,9753870.0,0.4363879
2299626.0,9751820.0,0.4362019
2299795.0,9756604.0,0.6434848
2299821.0,9752430.0,0.5471814
2299848.0,9752888.0,0.31896424
2299862.0,9753430.0,0.519846
2299881.0,9752720.0,0.76874375
2299883.0,9756700.0,0.7115292
2299885.0,9755202.0,0.43555987
2299967.0,9753896.0,0.8333878
2299998.0,9750274.0,0.2515493
2300081.0,9751856.0,0.17491817
2300092.0,9750282.0,0.51640487
2300235.0,9752876.0,0.5619919
2300240.0,9752872.0,0.58856565
2300245.0,9754830.0,0.19540544
2300248.0,9750296.0,0.63898957
2300298.0,9753824.0,0.12262993
2300482.0,9752880.0,0.840854
2300535.0,9753414.0,0.14159857
2300918.0,9755434.0,0.66339505
2301000.0,9752678.0,0.7745632
2301026.0,9755452.0,0.5868783
2301131.0,9745324.0,0.36159578
2301183.0,9745122.0,0.3835548
2301185.0,9745414.0,0.14122757
2301266.0,9755460.0,0.5799003
2301373.0,9745418.0,0.6418298
2301416.0,9745206.0,0.60565174
2301419.0,9747286.0,0.23660514
2301429.0,9747264.0,0.7470479
2301434.0,9747180.0,0.58977866
2301481.0,9745886.0,0.6305099
2301490.0,9745482.0,0.6982713
2301499.0,9745926.0,0.17035525
2301500.0,9745740.0,0.35675055
2301541.0,9745600.0,0.7260867
2301589.0,9745202.0,0.78246546
2301634.0,9747316.0,0.794425
2301670.0,9745524.0,0.3336403
2301673.0,9747274.0,0.6676238
2301682.0,9745908.0,0.76459146
2301683.0,9747396.0,0.823935
2301687.0,9747200.0,0.22997645
2301700.0,9747390.0,0.80279493
2301701.0,9747310.0,0.6646907
2301793.0,9747392.0,0.8394133
2301844.0,9747324.0,0.8586842
2301891.0,9734048.0,0.5139849
2302058.0,9733310.0,0.27075964
2302115.0,9733818.0,0.470687
2302136.0,9745286.0,0.63097656
2302259.0,9731342.0,0.63929933
2302277.0,9731504.0,0.603073
2302293.0,9731494.0,0.52216846
2302372.0,9733196.0,0.6350246
2302405.0,9736028.0,0.6610429
2302413.0,9731320.0,0.4752312
2302429.0,9733376.0,0.43580937
2302485.0,9731500.0,0.79009175
2303157.0,9731452.0,0.75201565
2306003.0,1.2034381E7,0.66178715
2306354.0,1.2034315E7,0.8292549
2306372.0,1.2034371E7,0.82489336
2306425.0,1.2034501E7,0.63220096
2306449.0,1.2034181E7,0.7096937
2306481.0,1.2035577E7,0.2484017
2306486.0,1.2034267E7,0.65278584
2306490.0,1.2035393E7,0.702439
2306491.0,1.2034615E7,0.47803226
2306508.0,1.2032721E7,0.71238965
2306514.0,1.2034803E7,0.57799804
