Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.66965E-11,0.000000006,0.000000081,1,0,0
7.49996E-11,0.000000013,0.000000107,0.999941235,0,0
8.24443E-11,0.000000029,0.000000118,0.999823706,0,0
1.11961E-10,0.000000111,0.00000016,0.999353588,0,0
1.28672E-10,0.000000258,0.000000184,0.99864841,0,0
1.6822E-10,0.000001015,0.000000241,0.995710172,0,0
2.18929E-10,0.000002514,0.000000313,0.991126521,0,0
3.82341E-10,0.000010027,0.000000547,0.976376565,0,0
5.74065E-10,0.000025041,0.000000822,0.957748134,0,0
8.09179E-10,0.000050034,0.000001158,0.93635776,0,0
1.24482E-9,0.000100032,0.000001782,0.90750426,0,0
2.23825E-9,0.000250028,0.000003204,0.856672739,0,0
3.48596E-9,0.000500278,0.00000499,0.804607158,0,0
6.01506E-9,0.00100024,0.000008611,0.741670095,0,0
1.25403E-8,0.002500612,0.000017952,0.643180349,0,0
2.53181E-8,0.005001444,0.000036244,0.56167362,0,0
5.98703E-8,0.010005478,0.000085702,0.486160898,0,0
1.80016E-7,0.025006984,0.000257642,0.404595405,0,0
3.85368E-7,0.050032811,0.000551382,0.350061703,0,0
8.25997E-7,0.100039288,0.001181088,0.29834871,0,0
1.94556E-6,0.200172111,0.002777502,0.251454428,0,0
3.20845E-6,0.30014117,0.004572164,0.22853617,0,0
4.41081E-6,0.400031301,0.006274824,0.212728448,0,0
5.92109E-6,0.500343032,0.008405291,0.201093025,0,0
7.72394E-6,0.600217182,0.010936542,0.192454604,0,0
9.42858E-6,0.700939316,0.01331805,0.185579127,0,0
1.04093E-5,0.75064964,0.014683024,0.182640889,0,0
1.12746E-5,0.800536736,0.015884213,0.179937709,0,0
1.3593E-5,0.900912203,0.019088126,0.175177763,0,0
1.49591E-5,1.001017705,0.020966173,0.17106423,0,0
1.66157E-5,1.100088342,0.023234176,0.16736205,0,0
1.80596E-5,1.20047508,0.025202315,0.163953693,0,0
1.95637E-5,1.301693732,0.027244052,0.160780396,0,0
2.1287E-5,1.401930636,0.029572968,0.157900923,0,0
2.2725E-5,1.500920009,0.031507742,0.155256508,0,0
2.71412E-5,1.752273256,0.037401678,0.149321267,0,0
3.08984E-5,2.001491675,0.042359871,0.144267497,0,0
3.44871E-5,2.252123301,0.047048334,0.13974261,0,0
3.93415E-5,2.501676241,0.053317754,0.135746606,0,0
4.29213E-5,2.75247353,0.057888521,0.132161956,0,0
4.67557E-5,3.003149269,0.062735565,0.128871129,0,0
5.09364E-5,3.25451904,0.067963811,0.125874126,0,0
5.40224E-5,3.500367103,0.071785833,0.123112182,0.004166667,0
5.78876E-5,3.753092151,0.076528924,0.120467768,0.004166667,0
6.16698E-5,4.002844223,0.081123529,0.117999647,0.008333333,0
6.59821E-5,4.253150784,0.086306506,0.115707822,0.008333333,0
6.92164E-5,4.50264912,0.090155646,0.113533525,0.008333333,0
7.37433E-5,4.753839853,0.095488978,0.111476759,0.008333333,0
7.71864E-5,5.002918404,0.099503855,0.109537521,0.008333333,0
8.04664E-5,5.25498495,0.103295446,0.107657049,0.008333333,0
8.35481E-5,5.500553778,0.106828743,0.105894106,0.008333333,0
8.61636E-5,5.755965541,0.109805921,0.104131163,0.008333333,0
9.17378E-5,6.00611263,0.116084941,0.10248575,0.008333333,0
9.59326E-5,6.258910117,0.120752059,0.100899101,0.008333333,0
1.00188E-4,6.504341373,0.125435998,0.099429982,0.0125,0
1.05446E-4,6.75150163,0.131155949,0.098019627,0.0125,0
1.09123E-4,7.009067053,0.135112018,0.096609273,0.0125,0
1.11738E-4,7.252673916,0.137902727,0.095316448,0.0125,0
1.14148E-4,7.501337341,0.140459616,0.094023623,0.0125,0
1.1645E-4,7.755639576,0.142887799,0.092730799,0.020833333,0
1.19318E-4,8.003619137,0.145892942,0.091496739,0.020833333,0
1.23306E-4,8.258496809,0.150038001,0.090262678,0.033333333,0
1.28544E-4,8.511139391,0.155421158,0.089087383,0.033333333,0
1.31443E-4,8.757676176,0.158371278,0.087970853,0.033333333,0
1.35093E-4,9.010697051,0.162055496,0.086854322,0.033333333,0
1.38044E-4,9.256973521,0.165011498,0.085796556,0.033333333,0
1.41419E-4,9.508835035,0.168367312,0.084738791,0.033333333,0
1.44324E-4,9.751823125,0.171233384,0.08373979,0.0375,0
1.47394E-4,10.014044515,0.174240983,0.082682024,0.041666667,0
1.499E-4,10.251293096,0.176680307,0.081741788,0.045833333,0
1.54086E-4,10.510051153,0.180721936,0.080742787,0.045833333,0
1.57275E-4,10.759692218,0.183774593,0.07980255,0.045833333,0
1.60835E-4,11.01417156,0.187156627,0.078862314,0.045833333,0
1.64806E-4,11.258984183,0.190895543,0.077980843,0.045833333,0
1.67389E-4,11.508350088,0.193308292,0.077099371,0.045833333,0
1.70137E-4,11.761333201,0.195860517,0.0762179,0.05,0
1.73496E-4,12.002083508,0.198957884,0.075395193,0.05,0
1.78618E-4,12.265402216,0.203635768,0.074513722,0.054166667,0
1.80854E-4,12.517146502,0.205660549,0.073691015,0.054166667,0
1.84192E-4,12.754898867,0.208664628,0.072927073,0.054166667,0
1.87765E-4,13.015870127,0.211855038,0.072104366,0.058333333,0
1.89481E-4,13.261234762,0.213377972,0.071340424,0.058333333,0
1.9248E-4,13.509880568,0.216025454,0.070576482,0.058333333,0
1.94474E-4,13.761421368,0.217775514,0.06981254,0.058333333,0
1.97966E-4,14.016927296,0.220822498,0.069048598,0.058333333,0
2.02227E-4,14.257893898,0.224508918,0.068343421,0.0625,0
2.04747E-4,14.502108057,0.2266722,0.067638244,0.0625,0
2.08623E-4,14.770696698,0.229976439,0.066874302,0.0625,0
2.11686E-4,15.001796618,0.232567531,0.06622789,0.066666667,0
2.1497E-4,15.257740062,0.235326496,0.065522713,0.066666667,0
2.17797E-4,15.517225432,0.237685261,0.064817535,0.070833333,0
2.21188E-4,15.758537921,0.240496603,0.064171123,0.075,0
2.24494E-4,16.003338998,0.243216882,0.063524711,0.075,0
2.27688E-4,16.25167238,0.245826302,0.062878298,0.075,0
2.29963E-4,16.503385965,0.24767403,0.062231886,0.079166667,0
2.32076E-4,16.757625414,0.249382687,0.061585473,0.083333333,0
2.36923E-4,17.015916703,0.253271399,0.060939061,0.0875,0
2.40445E-4,17.254695921,0.256072582,0.060351413,0.0875,0
2.43741E-4,17.521220087,0.258674947,0.059705001,0.0875,0
2.48725E-4,17.767638606,0.262575255,0.059117353,0.0875,0
2.53109E-4,18.017937567,0.265972582,0.058529706,0.0875,0
2.5623E-4,18.272567024,0.268371707,0.057942058,0.0875,0
2.59356E-4,18.504254111,0.270759645,0.057413175,0.0875,0
2.63201E-4,18.7657462,0.273675162,0.056825527,0.091666667,0
2.68355E-4,19.004790325,0.277546517,0.056296645,0.091666667,0
2.70644E-4,19.274696688,0.279253492,0.055708997,0.095833333,0
2.7352E-4,19.519746733,0.281385302,0.055180114,0.095833333,0
2.76606E-4,19.767656876,0.283659533,0.054651231,0.1,0
2.79402E-4,20.017753709,0.28570773,0.054122348,0.1,0
