variable, coef, p_value
AreaSqKM, 0.097504, 0.000
Shape_Length, 0.107768, 0.000
Shape_Area, 0.097504, 0.000
LENGTHKM, 0.130606, 0.000
FCODE, -0.049137, 0.000
StreamOrde, 0.092767, 0.000
Pathlength, 0.066689, 0.000
ArbolateSu, -0.024750, 0.037
TotDASqKM, -0.025658, 0.030
V0001E, 0.112481, 0.000
Qincr0001E, 0.070622, 0.000
TEMP0001, -0.023821, 0.044
PPT0001, 0.028514, 0.016
PET0001, -0.023986, 0.043
TempVC, -0.070001, 0.000
TempVMA, -0.023805, 0.045
Temp_min, -0.031961, 0.007
PrecipVC, 0.057999, 0.000
PrecipVMA, 0.028514, 0.016
Precip_min, 0.048080, 0.000
Precip_max, 0.029601, 0.012
RunOffVMA, 0.026378, 0.026
RunOff_max, 0.028238, 0.017
NLCD11P, -0.036304, 0.002
NLCD52P, 0.034973, 0.003
NLCD2, 0.053333, 0.000
NLCD3, 0.053333, 0.000
NLCD4, 0.075005, 0.000
NLCD5, 0.103591, 0.000
NLCD7, 0.068267, 0.000
NLCD8, 0.060563, 0.000
NLCD9, 0.066890, 0.000
NLCD11PC, -0.038465, 0.001
NLCD21PC, -0.032240, 0.007
NLCD22PC, -0.038566, 0.001
NLCD23PC, -0.028600, 0.016
NLCD41PC, 0.071028, 0.000
NLCD42PC, -0.030184, 0.011
NLCD43PC, 0.023778, 0.045
NLCD52PC, 0.032795, 0.006
NLCD71PC, -0.033249, 0.005
NLCD81PC, -0.037243, 0.002
NLCD1_1, -0.032430, 0.006
NLCD2_1, -0.030368, 0.010
NLCD3_1, -0.030368, 0.010
NLCD4_1, -0.029297, 0.013
NLCD5_1, -0.023393, 0.048
NLCD7_1, -0.024159, 0.042
NLCD8_1, -0.028007, 0.018
NLCD9_1, -0.026680, 0.024
slope_MEAN, 0.027600, 0.020
FLNLCD_21, 0.062374, 0.000
FLNLCD_31, 0.036204, 0.002
FLNLCD_41, 0.098709, 0.000
FLNLCD_42, 0.087071, 0.000
FLNLCD_43, 0.026477, 0.025
FLNLCD_52, 0.069701, 0.000
FLNLCD_71, 0.086157, 0.000
FLNLCD_81, 0.097309, 0.000
FLNLCD_90, 0.073513, 0.000
Other, 0.024078, 0.042
Forest, 0.104840, 0.000
Wetland, 0.062583, 0.000
pctForest, -0.031561, 0.008
ShadedSegments, 0.127977, 0.000
ShadedLength, 0.103998, 0.000
LongestSegment, 0.045677, 0.000
MeanShadeLength, -0.031544, 0.008
cool, 0.116840, 0.000
TotLength, 0.162450, 0.000
Crossings, 0.112086, 0.000
