X,Y,Noturus_insignis logistic values
2298787.0,9752022.0,0.83399117
2298796.0,9752944.0,0.07916902
2298797.0,9753412.0,0.48735684
2298804.0,9751570.0,0.6967755
2298813.0,9750376.0,0.5142296
2298816.0,9752140.0,0.61382943
2298878.0,9751944.0,0.44828585
2298893.0,9751770.0,0.44344363
2298939.0,9752476.0,0.7760592
2298985.0,9751874.0,0.36711252
2299013.0,9751776.0,0.48473594
2299019.0,9751714.0,0.681203
2299032.0,9750374.0,0.26234496
2299036.0,9751648.0,0.5412089
2299039.0,9755438.0,0.5955484
2299087.0,9754908.0,0.6817446
2299093.0,9756538.0,0.64934355
2299098.0,9752698.0,0.68841
2299103.0,9752028.0,0.6605854
2299118.0,9751926.0,0.805105
2299121.0,9754766.0,0.8561672
2299131.0,9753244.0,0.72792035
2299192.0,9750520.0,0.5614183
2299229.0,9754848.0,0.57839704
2299246.0,9752596.0,0.84486914
2299257.0,9753814.0,0.7808455
2299259.0,9754914.0,0.71294224
2299278.0,9754776.0,0.8152437
2299280.0,9752298.0,0.74050075
2299281.0,9753806.0,0.87019795
2299287.0,9754748.0,0.7586082
2299311.0,9754898.0,0.7728658
2299321.0,9752278.0,0.5844557
2299364.0,9753892.0,0.4732363
2299388.0,9754928.0,0.5410185
2299389.0,9753278.0,0.53835654
2299401.0,9754536.0,0.768008
2299417.0,9756694.0,0.64550436
2299423.0,9752226.0,0.4943037
2299426.0,9754718.0,0.7929132
2299467.0,9753764.0,0.4774704
2299516.0,9756576.0,0.6719327
2299529.0,9750542.0,0.056556314
2299574.0,9756566.0,0.63430893
2299626.0,9751820.0,0.5695976
2299821.0,9752430.0,0.6394257
2299881.0,9752720.0,0.8702994
2299883.0,9756700.0,0.67903626
2299967.0,9753896.0,0.83650595
2300245.0,9754830.0,0.37832016
2300298.0,9753824.0,0.284367
2300482.0,9752880.0,0.8504028
2301000.0,9752678.0,0.7319793
2301185.0,9745414.0,0.1970129
2301359.0,9745850.0,0.58212477
2301373.0,9745418.0,0.5867593
2301416.0,9745206.0,0.60919
2301434.0,9747180.0,0.75380737
2301481.0,9745886.0,0.53388035
2301500.0,9745740.0,0.52842766
2301535.0,9745124.0,0.54817224
2301541.0,9745600.0,0.83743095
2301589.0,9745202.0,0.7464033
2301670.0,9745524.0,0.5531491
2301682.0,9745908.0,0.74128884
2301700.0,9747390.0,0.69241494
2302136.0,9745286.0,0.6018016
2302293.0,9731494.0,0.7763907
2302405.0,9736028.0,0.42572778
2302436.0,9731340.0,0.7626945
2302485.0,9731500.0,0.8353139
2306003.0,1.2034381E7,0.59041405
2306372.0,1.2034371E7,0.80119175
2306449.0,1.2034181E7,0.7873462
2306481.0,1.2035577E7,0.31853166
2306487.0,1.2034279E7,0.28195882
2306490.0,1.2035393E7,0.8013425
2306491.0,1.2034615E7,0.42912224
2306508.0,1.2032721E7,0.3880493
2306514.0,1.2034803E7,0.5496844
2306585.0,1.2032553E7,0.46314302
2306601.0,1.2034363E7,0.6384655
2306609.0,1.2034505E7,0.6254429
2306621.0,1.2034699E7,0.8374149
2306628.0,1.2036783E7,0.7711871
2306644.0,1.2036507E7,0.6951313
2306666.0,1.2034373E7,0.7717311
2306684.0,1.2035539E7,0.49117485
2306698.0,1.2032811E7,0.7746472
2306724.0,1.2036877E7,0.6292224
2306733.0,1.2034679E7,0.73149925
2306741.0,1.2034257E7,0.7468661
2306761.0,1.2032755E7,0.49640596
2306807.0,1.2037371E7,0.7372533
2306811.0,1.2034291E7,0.77584505
2306822.0,1.2033355E7,0.5800297
2306833.0,1.2034205E7,0.75691146
2306839.0,1.2034295E7,0.7844836
2306840.0,1.2035925E7,0.7589989
2306857.0,1.2034535E7,0.65903777
2306876.0,1.2035561E7,0.63196284
2306885.0,1.2037111E7,0.5755819
2306888.0,1.2037117E7,0.5624699
2306908.0,1.2032725E7,0.6691264
2306994.0,1.2036931E7,0.07584006
2307001.0,1.2036959E7,0.79278356
2307076.0,1.2036801E7,0.6480829
2307086.0,1.2035413E7,0.7235097
2307121.0,1.2037219E7,0.73961246
2307243.0,1.2037367E7,0.38913357
2307269.0,1.2036925E7,0.7485624
2307271.0,1.2034277E7,0.7129827
2307301.0,1.2034269E7,0.602595
2307390.0,1.2037075E7,0.20681006
2307418.0,1.2034531E7,0.8345628
2307466.0,1.2036375E7,0.5182767
2307810.0,1.2036779E7,0.64485675
2307946.0,1.2037021E7,0.21709326
2307949.0,1.2036839E7,0.77819633
2307995.0,1.2037745E7,0.43094403
2308074.0,1.2034357E7,0.14528991
2308095.0,1.2036423E7,0.4904675
2308116.0,1.2034551E7,0.55863786
2308126.0,1.2034583E7,0.691395
2308152.0,1.2032701E7,0.7656272
2308179.0,1.2032823E7,0.19752797
2308202.0,1.2035409E7,0.71465683
2308218.0,1.2032745E7,0.47769755
2308219.0,1.2032771E7,0.7169139
2308304.0,1.2034247E7,0.8090434
2308315.0,1.2034241E7,0.63038325
2308361.0,1.2034671E7,0.69969124
2308694.0,1.2036607E7,0.63775015
2297822.0,1.1566032E7,2.1007276E-5
2298591.0,9753948.0,0.12092811
2298592.0,9750426.0,0.030401733
2298610.0,9750466.0,0.09636188
2298611.0,9751800.0,0.6148681
2298612.0,9750338.0,0.02053752
2298613.0,9752294.0,0.32785273
2298634.0,9752412.0,0.05618013
2298657.0,9751462.0,0.13835421
2298658.0,9755424.0,5.081284E-4
2298659.0,9750262.0,1.6202556E-4
2298677.0,9751936.0,0.18757793
2298678.0,9751976.0,0.088123396
2298786.0,9751808.0,0.21843007
2298788.0,9752612.0,0.03654025
2298789.0,9750392.0,0.14828922
2298790.0,9755422.0,0.09520306
2298791.0,9752706.0,0.0019583798
