Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.35789E-11,0.000000001,0.000000011,1,0,0
1.57616E-11,0.000000003,0.000000012,0.999941235,0,0
2.47824E-11,0.00000001,0.00000002,0.999764941,0,0
2.95171E-11,0.000000026,0.000000023,0.999412352,0,0
4.39323E-11,0.000000103,0.000000035,0.998237057,0,0
5.77682E-11,0.000000251,0.000000046,0.996532879,0,0
9.69797E-11,0.000001009,0.000000076,0.990891461,0,0
1.60644E-10,0.000002502,0.000000127,0.984015984,0,0
3.17269E-10,0.00001001,0.00000025,0.965446318,0,0
5.62599E-10,0.000025029,0.000000443,0.945231239,0,0
8.44325E-10,0.000050023,0.000000665,0.924134689,0,0
1.23197E-9,0.000100016,0.000000971,0.895751308,0,0
2.22768E-9,0.000250094,0.000001756,0.84386202,0,0
3.55428E-9,0.000500186,0.000002801,0.79279544,0,0
5.75975E-9,0.001000168,0.000004539,0.729388259,0,0
1.33988E-8,0.002500096,0.000010559,0.631838749,0,0
2.80793E-8,0.005002188,0.000022128,0.557148734,0,0
5.8468E-8,0.010002041,0.000046074,0.485808309,0,0
1.64833E-7,0.025012516,0.000129882,0.398601399,0,0
3.50598E-7,0.050023778,0.000276217,0.338778868,0,0
7.11022E-7,0.100009725,0.000560017,0.281130634,0,0
1.50815E-6,0.200129486,0.001187111,0.225656696,0,0
2.49615E-6,0.300248387,0.001963265,0.195686666,0,0
3.55787E-6,0.40009623,0.002795989,0.175941705,0,0
4.76778E-6,0.500160732,0.003743256,0.161544338,0,0
6.19599E-6,0.600146052,0.00485911,0.150672857,0,0
7.91305E-6,0.700311446,0.006197346,0.14232826,0,0
8.75884E-6,0.750454532,0.006855212,0.138802374,0,0
9.65442E-6,0.800942693,0.007550858,0.135570312,0,0
1.15227E-5,0.900772149,0.008998908,0.130046424,0,0
1.31219E-5,1.000834965,0.010235034,0.125286478,0,0
1.4965E-5,1.100226424,0.011655946,0.12111418,0,0
1.6803E-5,1.200990119,0.013068823,0.117412,0,0
1.83907E-5,1.301445777,0.014286002,0.114062408,0,0
2.02608E-5,1.400092586,0.015715858,0.111065405,0,0
2.16468E-5,1.50092826,0.016772934,0.108244696,0,0
2.72847E-5,1.750818581,0.021049466,0.102191926,0,0
3.22239E-5,2.001541285,0.024765568,0.097196921,0,0
3.67528E-5,2.252738151,0.028148304,0.092907093,0,0
4.06769E-5,2.501281112,0.031060373,0.089146148,0,0
4.52005E-5,2.752652392,0.034395679,0.085679027,0,0
4.98312E-5,3.000033918,0.037786333,0.082623259,0,0
5.57696E-5,3.254426186,0.042099791,0.07980255,0,0
6.07099E-5,3.500619837,0.045658842,0.07733443,0,0
6.80929E-5,3.75158408,0.05092868,0.075042604,0,0
7.41111E-5,4.006865073,0.05518149,0.072927073,0,0
7.96152E-5,4.25240507,0.059037787,0.0710466,0.007518797,0
8.74363E-5,4.50289644,0.06446354,0.069283658,0.007518797,0
9.3963E-5,4.756537589,0.06894372,0.067638244,0.007518797,0
1.00014E-4,5.008095209,0.073059014,0.06611036,0.007518797,0
1.05987E-4,5.2545606,0.077085681,0.064700006,0.015037594,0
1.10244E-4,5.503859046,0.079934564,0.063348416,0.022556391,0
