Predictor variable,Categorical,Sample average
AreaSqKM,false,5.255864660654749
Crossings,false,1.5338345864661653
FCODE,true,46006.0
FLNLCD_31,false,426.3157894736842
FLNLCD_42,false,9040.601503759399
FLNLCD_43,false,2307.5187969924814
FLNLCD_52,false,3166.9172932330825
FLNLCD_71,false,5501.503759398496
FLNLCD_81,false,12532.33082706767
Forest,false,210295.48872180452
LongestSegment,false,863.6572735721903
MeanShadeLength,false,140.31023977752915
NLCD11P,false,0.602783671531238
NLCD11PC,false,0.20547712795590437
NLCD1_1,false,0.8182082531940458
NLCD2,false,1.0048195407769636
NLCD21PC,false,7.694711473119214
NLCD22PC,false,2.0257356423688564
NLCD23PC,false,0.6646334021527293
NLCD3,false,1.0048195407769636
NLCD3_1,false,18.470835414753626
NLCD4_1,false,14.2893879778186
NLCD5,false,2.4850962381613884
NLCD52P,false,3.7436415769888045
NLCD52PC,false,3.275955988164235
NLCD5_1,false,122.18394561997033
NLCD7,false,0.2642548875970752
NLCD71PC,false,3.331352942027992
NLCD8,false,0.8841180507604846
NLCD81PC,false,12.936708173861629
NLCD8_1,false,24.576523149428063
NLCD9,false,0.05662556360493225
NLCD9_1,false,0.9307691566103411
Other,false,178484.2105263158
PPT0001,false,1302.9828330592106
Pathlength,false,569.4540591132372
PrecipVMA,false,130298.32330827067
Precip_max,false,13117.809724506578
Qincr0001E,false,3.068059000249644
RunOffVMA,false,497.6387152420847
RunOff_max,false,84.77383979281089
ShadedSegments,false,23.37593984962406
Shape_Area,false,5255864.663181391
StreamOrde,true,3.0
TempVC,false,1394.0385521910243
Temp_min,false,383.4086179804981
TotDASqKM,false,198.09295861165327
TotLength,false,40155.65149843603
V0001E,false,1.13035090570163
Wetland,false,41819.54887218045
cool,false,47.14025789992254
pctForest,false,49.57409762081347
slope_MEAN,false,5.703782419513042
