X,Y,Nocomis_leptocephalus logistic values
2298787.0,9752022.0,0.86545336
2298790.0,9755422.0,0.7996787
2298796.0,9752944.0,0.43305787
2298797.0,9753412.0,0.55727834
2298804.0,9751570.0,0.70596343
2298813.0,9750376.0,0.7175754
2298816.0,9752140.0,0.6469506
2298824.0,9751576.0,0.436465
2298838.0,9755474.0,0.754181
2298863.0,9750410.0,0.7620283
2298878.0,9751944.0,0.5042308
2298893.0,9751770.0,0.71039677
2298939.0,9752476.0,0.6785494
2298943.0,9752722.0,0.8135914
2298985.0,9751874.0,0.8181946
2298986.0,9752544.0,0.6295195
2299013.0,9751776.0,0.69118446
2299019.0,9751714.0,0.35570672
2299032.0,9750374.0,0.7612152
2299036.0,9751648.0,0.74154866
2299039.0,9755438.0,0.9076357
2299087.0,9754908.0,0.65459025
2299093.0,9756538.0,0.79295117
2299098.0,9752698.0,0.8129209
2299103.0,9752028.0,0.7477511
2299111.0,9751826.0,0.32445073
2299118.0,9751926.0,0.81509453
2299121.0,9754766.0,0.74351674
2299130.0,9755002.0,0.72819334
2299131.0,9753244.0,0.7613092
2299184.0,9754594.0,0.098882094
2299185.0,9754496.0,0.74609655
2299192.0,9750520.0,0.6393089
2299205.0,9755000.0,0.71868306
2299219.0,9752398.0,0.5519509
2299226.0,9754858.0,0.6249566
2299229.0,9754848.0,0.5374105
2299257.0,9753814.0,0.81191754
2299259.0,9754914.0,0.64805835
2299278.0,9754776.0,0.8329289
2299280.0,9752298.0,0.72109085
2299281.0,9753806.0,0.871733
2299287.0,9754748.0,0.85434973
2299309.0,9752100.0,0.8008419
2299311.0,9754898.0,0.7928946
2299318.0,9754616.0,0.30764258
2299321.0,9752278.0,0.3367712
2299331.0,9753060.0,0.79578525
2299363.0,9752946.0,0.68202704
2299364.0,9753892.0,0.78148484
2299375.0,9752854.0,0.5596941
2299388.0,9754928.0,0.81758493
2299389.0,9753278.0,0.64073616
2299392.0,9756614.0,0.73096794
2299401.0,9754536.0,0.8685523
2299416.0,9756668.0,0.63836145
2299417.0,9756694.0,0.83713573
2299423.0,9752226.0,0.70433766
2299424.0,9756830.0,0.8623874
2299426.0,9754718.0,0.8207425
2299427.0,9750476.0,0.71119624
2299449.0,9751434.0,0.3729827
2299467.0,9753764.0,0.65657216
2299493.0,9753084.0,0.7792353
2299508.0,9754582.0,0.8861213
2299510.0,9756568.0,0.80446446
2299515.0,9756564.0,0.7865377
2299516.0,9756576.0,0.78327
2299529.0,9750542.0,0.28452995
2299552.0,9755430.0,0.69269216
2299574.0,9756566.0,0.6966728
2299585.0,9753870.0,0.51318985
2299626.0,9751820.0,0.63476515
2299795.0,9756604.0,0.6994248
2299821.0,9752430.0,0.6136839
2299848.0,9752888.0,0.47349694
2299862.0,9753430.0,0.7932981
2299881.0,9752720.0,0.7033153
2299883.0,9756700.0,0.7766877
2299885.0,9755202.0,0.36265436
2299967.0,9753896.0,0.8658531
2299998.0,9750274.0,0.102470756
2300081.0,9751856.0,0.6005582
2300092.0,9750282.0,0.39981988
2300235.0,9752876.0,0.58322686
2300240.0,9752872.0,0.5150867
2300245.0,9754830.0,0.039828815
2300248.0,9750296.0,0.69233507
2300298.0,9753824.0,0.104108185
2300482.0,9752880.0,0.7983829
2300535.0,9753414.0,0.27069172
2300918.0,9755434.0,0.59637713
2301000.0,9752678.0,0.553883
2301026.0,9755452.0,0.39821613
2301131.0,9745324.0,0.36113587
2301183.0,9745122.0,0.40296838
2301185.0,9745414.0,0.25608575
2301266.0,9755460.0,0.39586633
2301373.0,9745418.0,0.5641198
2301416.0,9745206.0,0.63733125
2301419.0,9747286.0,0.52109224
2301429.0,9747264.0,0.8628718
2301434.0,9747180.0,0.6323023
2301481.0,9745886.0,0.5540998
2301490.0,9745482.0,0.7966292
2301499.0,9745926.0,0.30871388
2301500.0,9745740.0,0.38998747
2301541.0,9745600.0,0.8472415
2301589.0,9745202.0,0.7648072
2301634.0,9747316.0,0.71778196
2301670.0,9745524.0,0.33260936
2301673.0,9747274.0,0.61035824
2301682.0,9745908.0,0.6527862
2301683.0,9747396.0,0.83632493
2301687.0,9747200.0,0.82818574
2301700.0,9747390.0,0.740988
2301701.0,9747310.0,0.6294211
2301793.0,9747392.0,0.7389909
2301844.0,9747324.0,0.79090714
2301891.0,9734048.0,0.22955166
2302058.0,9733310.0,0.1651041
2302115.0,9733818.0,0.47621417
2302136.0,9745286.0,0.68524706
2302259.0,9731342.0,0.6067462
2302277.0,9731504.0,0.7899648
2302293.0,9731494.0,0.80855715
2302372.0,9733196.0,0.6754975
2302405.0,9736028.0,0.6271427
2302413.0,9731320.0,0.38700658
2302429.0,9733376.0,0.59582436
2302485.0,9731500.0,0.7797314
2303157.0,9731452.0,0.504799
2306003.0,1.2034381E7,0.8235714
2306354.0,1.2034315E7,0.8287072
2306372.0,1.2034371E7,0.7812321
2306425.0,1.2034501E7,0.8131161
2306449.0,1.2034181E7,0.77776027
2306481.0,1.2035577E7,0.77690655
2306486.0,1.2034267E7,0.7400527
2306490.0,1.2035393E7,0.55252534
2306491.0,1.2034615E7,0.45569745
2306508.0,1.2032721E7,0.6621559
2306514.0,1.2034803E7,0.3661109
2306586.0,1.2032577E7,0.68104947
2306601.0,1.2034363E7,0.57059544
2306602.0,1.2034293E7,0.45106027
2306609.0,1.2034505E7,0.81767684
2306621.0,1.2034699E7,0.81894517
2306628.0,1.2036783E7,0.56614715
2306643.0,1.2032835E7,0.24827419
2306644.0,1.2036507E7,0.5317802
2306666.0,1.2034373E7,0.4927602
2306684.0,1.2035539E7,0.5811408
2306689.0,1.2034633E7,0.58226556
2306690.0,1.2034327E7,0.7115339
2306698.0,1.2032811E7,0.8221642
2306724.0,1.2036877E7,0.4548744
2306733.0,1.2034679E7,0.7564709
2306741.0,1.2034257E7,0.7750076
2306757.0,1.2034555E7,0.7191093
2306761.0,1.2032755E7,0.72427446
2306769.0,1.2034657E7,0.76093847
2306801.0,1.2034431E7,0.6840433
2306807.0,1.2037371E7,0.3040233
2306811.0,1.2034291E7,0.8512462
2306822.0,1.2033355E7,0.67865425
2306833.0,1.2034205E7,0.8005876
2306839.0,1.2034295E7,0.7830115
2306840.0,1.2035925E7,0.4725179
2306876.0,1.2035561E7,0.35523996
2306879.0,1.2037103E7,0.7077527
2306885.0,1.2037111E7,0.6682386
2306888.0,1.2037117E7,0.29056808
2306904.0,1.2037113E7,0.82451767
2306908.0,1.2032725E7,0.7142155
2306909.0,1.2035415E7,0.75651
2306948.0,1.2037753E7,0.7604915
2306956.0,1.2037119E7,0.8097718
2306975.0,1.2034323E7,0.4866627
2306994.0,1.2036931E7,0.24107641
2306995.0,1.2037781E7,0.5743572
2307001.0,1.2036959E7,0.89322305
2307007.0,1.2036919E7,0.66273135
2307013.0,1.2036987E7,0.6804156
2307076.0,1.2036801E7,0.40790826
2307079.0,1.2037275E7,0.82476634
2307086.0,1.2035413E7,0.8018505
2307098.0,1.2034581E7,0.849116
2307112.0,1.2037293E7,0.5255431
2307121.0,1.2037219E7,0.7146184
2307159.0,1.2034303E7,0.81045645
2307178.0,1.2037783E7,0.50293547
2307243.0,1.2037367E7,0.08639268
2307269.0,1.2036925E7,0.8482036
2307271.0,1.2034277E7,0.8317466
2307301.0,1.2034269E7,0.6173689
2307312.0,1.2036965E7,0.62853324
2307313.0,1.2037291E7,0.21301752
2307389.0,1.2037085E7,0.1679311
2307390.0,1.2037075E7,0.526172
2307404.0,1.2034245E7,0.63812894
2307418.0,1.2034531E7,0.8172746
2307466.0,1.2036375E7,0.53996146
