Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
8.87932E-12,0.000000001,0.000000015,0.99994128,0,0
1.00388E-11,0.000000003,0.000000017,0.99982384,0,0
1.50064E-11,0.000000011,0.000000026,0.999471521,0,0
2.06582E-11,0.000000025,0.000000035,0.999001762,0,0
3.56088E-11,0.000000103,0.000000061,0.997416324,0,0
4.90299E-11,0.000000252,0.000000084,0.995361127,0,0
9.48033E-11,0.000001008,0.000000162,0.989136817,0,0
1.55851E-10,0.00000251,0.000000267,0.982207868,0,0
3.50112E-10,0.000010013,0.0000006,0.964063417,0,0
6.39184E-10,0.000025064,0.000001095,0.945918967,0,0
9.84372E-10,0.000050088,0.000001686,0.927657076,0,0
1.60775E-9,0.000100072,0.000002754,0.904815032,0,0
3.12922E-9,0.000250113,0.000005359,0.866705813,0,0
5.2387E-9,0.000500139,0.000008972,0.83147387,0,0
9.16146E-9,0.001000841,0.000015691,0.790135056,0,0
2.01023E-8,0.002501793,0.000034429,0.726717557,0,0
3.67139E-8,0.005003293,0.000062877,0.673987082,0,0
7.01795E-8,0.010002328,0.000120184,0.616500294,0,0
1.80099E-7,0.025000437,0.000308365,0.541045214,0,0
3.67617E-7,0.050015099,0.000629231,0.485202584,0,0
7.49544E-7,0.100041553,0.001282118,0.430475631,0,0
1.48085E-6,0.200088833,0.002529881,0.375748679,0,0
2.28241E-6,0.300220394,0.003893917,0.34351145,0,0
3.07951E-6,0.40006442,0.00524669,0.321432766,0,0
3.96769E-6,0.500367834,0.006749706,0.304580153,0,0
4.84022E-6,0.600423323,0.008221811,0.291192014,0,0
5.77172E-6,0.70009153,0.009788611,0.280152672,0,0
6.15472E-6,0.75018171,0.010431391,0.2752202,0,0
6.57485E-6,0.800441209,0.011135533,0.270581327,0,0
7.45956E-6,0.900107906,0.012615015,0.2622431,0,0
8.36849E-6,1.000520752,0.014130416,0.254785672,0,0
9.24113E-6,1.100012152,0.015580924,0.248150323,0,0
1.0183E-5,1.200871885,0.017141768,0.242043453,0,0
1.10889E-5,1.300300779,0.018638225,0.236523782,0,0
1.20398E-5,1.401067655,0.020204203,0.23141515,0,0
1.30581E-5,1.500465241,0.021875793,0.226776277,0,0
1.52469E-5,1.750688235,0.025449148,0.216382854,0,0
1.75428E-5,2.000254998,0.029169662,0.207457428,0,0
1.969E-5,2.251497773,0.032623485,0.199530241,0,0
2.20124E-5,2.501816079,0.036331479,0.192483852,0,0
2.45875E-5,2.752342144,0.040409907,0.186142102,0.004166667,0
2.72256E-5,3.002164527,0.044552574,0.180504991,0.004166667,0
2.94437E-5,3.251354235,0.048007963,0.175337639,0.004166667,0
3.20416E-5,3.500745912,0.052023574,0.170581327,0.004166667,0
3.43264E-5,3.752516284,0.05552718,0.166118614,0.004166667,0
3.64968E-5,4.00092117,0.058831566,0.162008221,0.004166667,0
3.90849E-5,4.250202463,0.06274178,0.158132707,0.004166667,0
4.12432E-5,4.50357806,0.065977811,0.154433353,0.004166667,0
4.44077E-5,4.751105086,0.070682329,0.151027598,0.004166667,0
4.66038E-5,5.001894575,0.073919395,0.147798004,0.004166667,0
4.93296E-5,5.251699872,0.07790596,0.144744568,0.004166667,0
5.20035E-5,5.50052699,0.081783594,0.141867293,0.004166667,0
5.41799E-5,5.750031516,0.084915568,0.139107457,0.004166667,0
5.71669E-5,6.005090258,0.089179647,0.136406342,0.008333333,0
5.91804E-5,6.254956318,0.092031563,0.133881386,0.008333333,0
6.20765E-5,6.50343186,0.096102475,0.13147387,0.008333333,0
6.44502E-5,6.750924474,0.099411914,0.129183793,0.0125,0
6.66597E-5,7.000343446,0.102470756,0.126952437,0.0125,0
6.92562E-5,7.25169748,0.106038903,0.1247798,0.020833333,0
7.14088E-5,7.505477306,0.108975638,0.122665884,0.025,0
7.38744E-5,7.752823182,0.112315711,0.120669407,0.025,0
7.71824E-5,8.002337872,0.116757931,0.11873165,0.025,0
7.944E-5,8.253522059,0.11976408,0.116852613,0.025,0
8.16354E-5,8.50340147,0.122667873,0.115032296,0.025,0
8.42783E-5,8.75251893,0.126138239,0.113270699,0.025,0
8.6761E-5,9.00085717,0.12937325,0.111567821,0.025,0
8.93606E-5,9.256291843,0.13273519,0.109864944,0.025,0
9.24577E-5,9.501610467,0.136706671,0.108279507,0.025,0
9.57365E-5,9.755716502,0.14087167,0.106694069,0.025,0
9.8913E-5,10.008498471,0.144868673,0.105167352,0.025,0
1.0173E-4,10.259646983,0.148382233,0.103699354,0.029166667,0
1.04113E-4,10.506905837,0.151331566,0.102290076,0.029166667,0
1.07109E-4,10.76037138,0.155011516,0.100880799,0.033333333,0
1.1025E-4,11.010122807,0.158835251,0.099530241,0.033333333,0
1.1251E-4,11.255013133,0.161565347,0.098238403,0.033333333,0
1.14742E-4,11.504999134,0.164244633,0.096946565,0.033333333,0
1.18188E-4,11.761629434,0.16834611,0.095654727,0.041666667,0
1.20493E-4,12.011881757,0.171068407,0.094421609,0.041666667,0
1.23861E-4,12.256820601,0.175013028,0.093247211,0.041666667,0
1.27613E-4,12.50882737,0.179363946,0.092072813,0.041666667,0
1.29944E-4,12.75376814,0.182043207,0.090957134,0.041666667,0
1.33138E-4,13.003711853,0.185686745,0.089841456,0.041666667,0
1.358E-4,13.259714872,0.188699158,0.088725778,0.045833333,0
1.37625E-4,13.50617153,0.19075078,0.08766882,0.045833333,0
1.39392E-4,13.755658843,0.192728618,0.086611861,0.045833333,0
1.41529E-4,14.008504446,0.195106738,0.085554903,0.045833333,0
1.43941E-4,14.251489841,0.197774561,0.084556665,0.045833333,0
1.46557E-4,14.512720399,0.200646896,0.083499706,0.045833333,0
1.4972E-4,14.750057184,0.204094181,0.082560188,0.045833333,0
1.5271E-4,15.007539346,0.207324426,0.08156195,0.05,0
1.54649E-4,15.25335707,0.209406214,0.080622431,0.05,0
1.58038E-4,15.504134616,0.213017519,0.079682913,0.05,0
1.61013E-4,15.759260178,0.216160566,0.078743394,0.054166667,0
1.62622E-4,16.002057164,0.217850134,0.077862595,0.054166667,0
1.65631E-4,16.265125687,0.220989955,0.076923077,0.054166667,0
1.69142E-4,16.516139418,0.2246219,0.076042278,0.054166667,0
1.71468E-4,16.75438998,0.227009558,0.0752202,0.054166667,0
1.7456E-4,17.013578788,0.230161131,0.074339401,0.058333333,0
1.75881E-4,17.25906356,0.231499861,0.073517322,0.058333333,0
1.78643E-4,17.507118171,0.23428415,0.072695244,0.058333333,0
1.80944E-4,17.758604659,0.236587321,0.071873165,0.058333333,0
1.83404E-4,18.01366807,0.239035454,0.071051086,0.0625,0
1.86356E-4,18.254794397,0.241951165,0.070287728,0.066666667,0
1.88081E-4,18.517071242,0.24364515,0.069465649,0.066666667,0
1.91647E-4,18.763854427,0.247123683,0.06870229,0.066666667,0
1.94911E-4,19.014955158,0.250278888,0.067938931,0.070833333,0
1.96886E-4,19.250119138,0.252175025,0.067234292,0.070833333,0
