Predictor variable,Categorical,Sample average
ArbolateSu,false,110.11724146356185
AreaSqKM,false,5.666531248064712
FCODE,true,46006.0
LENGTHKM,false,3.4124500158863764
MeanShadeLength,false,190.1385914683342
MinMonthly,false,8.563660212357838
NLCD11P,false,0.4319030454847962
NLCD11PC,false,0.19153249195078387
NLCD12P,false,0.0
NLCD12PC,false,0.0
NLCD21P,false,10.526374973294635
NLCD21PC,false,9.373478305665776
NLCD22P,false,3.7711890721538412
NLCD22PC,false,3.2630398667960736
NLCD23P,false,1.3482800646141793
NLCD23PC,false,1.1836287500724818
NLCD24P,false,0.49554079671700796
NLCD24PC,false,0.4845339187042555
NLCD31P,false,0.3451888460762954
NLCD31PC,false,0.22407522063391905
NLCD41P,false,46.36515633662542
NLCD41PC,false,55.66030518809954
NLCD42P,false,9.38117024526
NLCD42PC,false,7.390778255214294
NLCD43P,false,2.4402361552231016
NLCD43PC,false,2.3365908167790623
NLCD51P,false,0.0
NLCD51PC,false,0.0
NLCD52P,false,3.3106621745818603
NLCD52PC,false,2.847442307136953
NLCD71P,false,4.2286274551879615
NLCD71PC,false,3.2886024225192765
NLCD72P,false,0.0
NLCD72PC,false,0.0
NLCD73P,false,0.0
NLCD73PC,false,0.0
NLCD74P,false,0.0
NLCD74PC,false,0.0
NLCD81P,false,16.087947262823583
NLCD81PC,false,13.242207570280879
NLCD82P,false,0.19749762437616786
NLCD82PC,false,0.14799596194643527
NLCD90P,false,1.025391595150965
NLCD90PC,false,0.3534912617954736
NLCD95P,false,0.04483428360739102
NLCD95PC,false,0.012297829227221276
NLCD_11,false,2988.75
NLCD_21,false,9386.25
NLCD_22,false,1627.5
NLCD_23,false,431.25
NLCD_24,false,176.25
NLCD_31,false,401.25
NLCD_41,false,73623.75
NLCD_42,false,6558.75
NLCD_43,false,2403.75
NLCD_52,false,3022.5
NLCD_71,false,4950.0
NLCD_81,false,11418.75
NLCD_82,false,131.25
NLCD_90,false,11625.0
NLCD_95,false,150.0
PET0001,false,782.9826769510905
PPT0001,false,1312.5887110392252
Pathlength,false,563.9267117818197
PrecipV,false,131258.89166666666
Q0001E,false,91.74457127998272
Q0001E_01,false,123.49451195001602
Q0001E_02,false,131.67390884260337
Q0001E_03,false,149.1694157143434
Q0001E_04,false,119.50792620629072
Q0001E_05,false,95.7421754742662
Q0001E_06,false,73.99020878151059
Q0001E_07,false,51.73582489565015
Q0001E_08,false,58.14383742026985
Q0001E_09,false,62.50207046891252
Q0001E_10,false,80.39539971152941
Q0001E_11,false,94.2295657924066
Q0001E_12,false,97.69424965480964
Qincr0001E,false,3.179518328172465
RunOffV,false,513.8526416778565
SLOPE,false,0.01082411924664181
ShadedLength,false,2194.3507041454313
StreamOrde,true,3.0
TEMP0001,false,14.61405467192332
TempV,false,1461.449541727702
TotDASqKM,false,134.1678010766705
V0001E,false,1.0818886270125707
erodability_MEAN,false,0.26508292951621115
flood_risk_SUM,false,471.6375
flooding_SUM,false,19116.1375
pctForest,false,53.60676771303018
pctWetland,false,7.578044702112675
road_density_MEAN,false,6.127434149136146
slope_MEAN,false,6.048288208742936
water_table_MEAN,false,71.13108801841736
