"","spp","FEATUREID","HUC8","StreamOrde","Pathlength","ArbolateSu","AreaSqKM_1","TotDASqKM","Q0001E","V0001E","Qincr0001E","TEMP0001","PPT0001","PET0001","QLOSS0001","Q0001E_01","Q0001E_02","Q0001E_03","Q0001E_04","Q0001E_05","Q0001E_06","Q0001E_07","Q0001E_08","Q0001E_09","Q0001E_10","Q0001E_11","Q0001E_12","RunOffV","MinMonthly","NLCD11P","NLCD21P","NLCD22P","NLCDUrbanP","NLCDForestP","NLCD52P","NLCD71P","NLCD81P","NLCD82P","NLCD95P","NLCD11PC","NLCD21PC","NLCD22PC","NLCDUrbanPC","NLCDForestPC","NLCD52PC","NLCD71PC","NLCD81PC","NLCD82PC","NLCD95PC","slope_MEAN","road_density_MEAN","tfactor_MEAN","water_table_MEAN","erodability_MEAN","VALUE_11","VALUE_21","VALUE_22","VALUE_23_24","VALUE_FOREST","VALUE_52","VALUE_71","VALUE_81","VALUE_82","VALUE_95","PctRipForest","PctRipWetland","cold","cool","warm","Crossings","AnimalOpsCount","NPDESCount"
"1","greenhead.shiner",12034371,3050105,4,515.15,180.46,18.4266,232.9515,144.2,1.22349,9.74697,14.84082,1309.93,793.39912,0,195.416,215.003,239.049,189.301,142.427,107.373,76.421,77.329,72.664,124.005,172.306,161.252,498.978,6.038149,0.141643,3.145453,0.229559,0.073264,61.873596,6.266484,8.181108,18.975286,0,0.722868,0.198196,4.54923,0.232194,0.176561,73.368362,5.791334,5.246586,9.653254,0.009659,0.079201,4.321452171,5.356566596,4.692110454,38.42643172,0.239157667,0,1800,0,0,286200,7200,8100,1800,0,0,0.466381418,0.366136919,0,100,0,1,0,0
"2","greenhead.shiner",9745324,3050102,2,571.812,10.451,2.4696,19.395,11.443,0.92798,1.56117,14.64188,1267.15,786.51884,0,15.54,17.94,19.751,15.267,11.517,8.011,6.035,5.566,7.517,8.001,18.827,14.052,463.16,6,0,7.069971,1.056851,0,54.591837,4.919825,6.960641,25.400875,0,0,0.041763,6.064966,0.389791,0.487239,51.568446,4.756381,6.380511,30.143852,0.097448,0,4.580045999,7.41155979,4.190441445,92.14912281,0.274729928,0,2700,0,0,34200,16200,5400,9900,0,0,0.388429752,0.011019284,0,100,0,2,0,0
"3","greenhead.shiner",9745524,3050102,2,604.172,14.772,3.0159,13.7979,10.231,0.95817,2.05332,14.09819,1327.49,757.96635,0,12.557,14.263,15.754,13.076,10.785,7.281,5.377,4.688,6.432,20.272,21.397,12.502,548.593,8,0.149209,5.729633,0,0,87.585795,3.163235,1.909878,1.46225,0,0,0.032614,2.087274,0,0,94.181724,1.872024,0.678364,1.128433,0,0,8.671767115,3.199038816,4.933911483,104.8878505,0.33270036,0,0,0,0,92700,6300,0,0,0,0,0.9,0,0,100,0,0,0,0
"4","greenhead.shiner",9745740,3050102,3,531.348,43.999,2.7621,54.7308,28.919,0.98881,0.65728,14.95719,1232,801.34861,0,41.566,47.03,51.704,38.213,27.844,20.085,15.292,14.403,16.86,18.187,35.363,34.292,422.196,6,0.488759,1.857283,2.508961,0,41.055718,4.333659,13.457152,36.298469,0,0,0.277906,5.280208,1.096823,0.358482,43.729855,3.055318,7.669539,38.054989,0.322305,0.059199,3.260224285,4.444200295,4.973281199,60.151341,0.246702505,0,0,1800,0,61200,900,0,0,0,0,0.738235294,0.120588235,0,0,100,1,0,0
"5","greenhead.shiner",9747180,3050102,3,521.441,47.182,4.6899,71.6472,37.258,0.97644,1.33393,15.10301,1228.47,807.88191,0,54.4,60.703,66.849,48.472,35.555,25.758,19.574,19.038,21.329,22.508,43.238,44.257,416.765,6,5.334869,0.537325,5.008636,0,22.241412,2.283631,2.552293,62.041835,0,0,0.518792,4.401568,1.821425,0.113054,36.86941,2.274897,4.180484,49.312883,0.428349,0,2.781828809,4.867702899,5,66.79190101,0.232425633,28800,900,900,0,23400,0,3600,27000,0,0,0.241304348,0.017391304,0,0,100,2,0,0
"6","greenhead.shiner",9747286,3050102,2,490.011,40.743,1.1925,71.7687,31.97,0.99515,-0.19169,15.53691,1170.26,830.02062,0,50.383,57.696,62.504,41.642,25.672,19.306,15.717,15.583,19.685,21.098,23.609,37.343,346.3,5,0,4.150943,2.641509,0.377358,51.698113,0,4.150943,33.509434,3.471698,0,0.07775,11.632369,4.716401,0.88409,49.438823,3.151374,5.319589,24.586484,0.190612,0,2.903535623,7.590017688,5,70.29521277,0.380845286,0,0,900,0,35100,0,0,9000,0,0,0.456140351,0.105263158,0,0,100,1,0,0
"7","greenhead.shiner",9747310,3050102,1,510.299,7.087,25.5231,32.0652,16.657,1.05082,13.49293,14.99739,1228.89,801.49025,0,25.145,28.44,30.924,20.998,13.882,9.961,8.001,7.62,10.572,11.911,21.724,20.716,420.481,6,0.712296,6.77739,1.868895,0.641771,45.259001,0.955605,5.448006,37.924468,0.334991,0.056419,0.634333,6.438756,1.63074,0.510833,46.592567,0.962726,4.98765,37.911193,0.269451,0.044908,2.608390882,6.90853464,4.797159518,40.096532,0.27361709,0,2700,0,0,124200,4500,0,22500,0,0,0.724637681,0,0,0,100,2,0,0
"8","greenhead.shiner",9747316,3050102,2,496.887,27.118,13.4874,94.8762,40.939,1.09918,5.62402,15.32523,1186.73,818.38355,0,65.207,68.766,74.636,50.666,39.521,28.822,19.777,21.762,18.929,30.978,30.936,41.667,369.982,5.21994,0.180168,18.076872,8.087548,6.652877,38.549312,1.027626,5.318297,20.892833,0.146804,0,0.476199,10.575993,4.385399,1.691362,43.916599,1.181961,5.483883,31.53636,0.556831,0.031304,2.460947032,7.836655062,5.029806156,42.66153846,0.297182354,0,1800,2700,0,108000,6300,3600,13500,0,0,0.456989247,0.244623656,0,0,100,2,0,0
"9","greenhead.shiner",9747324,3050102,3,488.671,41.283,21.5541,128.0763,54.176,1.08482,8.5253,15.41809,1174.44,823.63086,0,87.602,93.695,101.073,67.421,49.423,36.789,25.961,28.799,27.057,37.311,35.55,56.533,354.843,5,0.03758,32.264395,29.796651,12.288613,17.136415,1.515721,3.340432,3.006389,0,0.275586,0.612057,15.862888,10.492105,4.768564,37.227964,1.148925,4.805807,24.421146,0.412489,0.069568,2.728410709,15.70091735,5.058127761,50.08518127,0.248320112,0,38700,8100,4500,180000,1800,9900,29700,0,0,0.449460916,0.162398922,0,0,100,4,0,2
"10","greenhead.shiner",9747392,3050102,2,504.562,26.179,20.8386,62.3745,31.141,1.04675,9.10319,15.14076,1219.39,809.08712,0,46.998,52.543,57.546,39.978,27.497,20.036,15.59,15.38,18.898,20.169,34.019,37.346,406.143,6,0.073421,4.642826,0.941522,0,51.649823,2.876393,6.206271,32.970545,0.639198,0,0.190462,5.894235,3.031527,1.007143,46.106341,1.839694,5.201645,36.456244,0.272708,0,2.946985738,5.892718377,4.731890956,50.79095771,0.255493617,0,2700,1800,0,217800,5400,4500,30600,5400,0,0.674914089,0.04742268,0,0,100,4,0,0
